datetime,timestamp,close,volume,sma,std,bb_upper,bb_lower,rsi,avg_volume,volume_spike
2025-02-14,1739491200,13.4582,2895201173.91,,,,,,,False
2025-02-17,1739750400,13.466,2902540101.59,,,,,,,False
2025-02-18,1739836800,13.4622,2940015719.31,,,,,,,False
2025-02-19,1739923200,13.4635,2979813503.62,,,,,,,False
2025-02-20,1740009600,13.4721,2991439555.41,,,,,,,False
2025-02-21,1740096000,13.4751,2997426102.15,,,,,,,False
2025-02-24,1740355200,13.4872,3141461396.57,,,,,,,False
2025-02-25,1740441600,13.4903,3173547888.32,,,,,,,False
2025-02-26,1740528000,13.5201,3293023095.14,,,,,,,False
2025-02-27,1740614400,13.5329,3308873550.0,,,,,,,False
2025-02-28,1740700800,13.5256,3339844126.94,,,,,,,False
2025-03-03,1740960000,13.5167,3386426559.79,,,,,,,False
2025-03-04,1741046400,13.5248,3409518435.47,,,,,,,False
2025-03-05,1741132800,13.5274,3422734382.52,,,,,,,False
2025-03-06,1741219200,13.5183,3466823434.79,,,,,70.34279710402022,,False
2025-03-07,1741305600,13.5277,3492327418.47,,,,,73.73897686400599,,False
2025-03-10,1741564800,13.5375,3529165599.2,,,,,76.73073238336163,,False
2025-03-11,1741651200,13.5446,3575881500.43,,,,,78.63019991487994,,False
2025-03-12,1741737600,13.5499,3596307927.2,,,,,79.94617761021041,,False
2025-03-13,1741824000,13.5507,3657633471.42,13.50754,0.03205932658451429,13.57165865316903,13.443421346830972,80.14493268834511,3275000247.1125,False
2025-03-14,1741910400,13.5576,3682765382.48,13.51251,0.031710663987469745,13.57593132797494,13.449088672025061,81.81868132226107,3314378457.5409994,False
2025-03-17,1742169600,13.5548,3690042292.95,13.51695,0.03106593158530776,13.579081863170614,13.454818136829385,78.91162476407969,3353753567.109,False
2025-03-18,1742256000,13.5529,3708700276.79,13.521485000000002,0.02921811397421731,13.579921227948436,13.463048772051568,76.91457044573794,3392187794.9830003,False
2025-03-19,1742342400,13.5667,3963099841.31,13.526644999999998,0.027501090409000162,13.581647180817999,13.471642819181998,80.72924718852195,3441352111.8675003,False
2025-03-20,1742428800,13.5852,3973724494.39,13.532300000000001,0.027322479659368182,13.586944959318737,13.477655040681265,84.44099821711531,3490466358.8165,False
2025-03-21,1742515200,13.5934,4040223119.31,13.538215,0.027091915185545084,13.592398830371089,13.48403116962891,85.75105376870869,3542606209.6745005,False
2025-03-24,1742774400,13.5823,4072109959.84,13.542970000000002,0.025990101354568487,13.59495020270914,13.490989797290865,76.37628967812091,3589138637.838,False
2025-03-25,1742860800,13.5738,4133053275.06,13.547144999999997,0.023688737608267597,13.594522475216532,13.499767524783461,70.05987184487654,3637113907.175,False
2025-03-26,1742947200,13.5819,4217537681.19,13.550235,0.024003821515918428,13.598242643031838,13.502227356968163,72.40214926722982,3683339636.4775,False
2025-03-27,1743033600,13.5865,4254449770.95,13.552914999999999,0.024940440105002314,13.602795880210003,13.503034119789994,73.6622931426268,3730618447.525,False
2025-03-31,1743379200,13.6311,4213324545.0,13.55819,0.02958374197888593,13.617357483957772,13.499022516042228,82.16529815867108,3774292468.428,False
2025-04-01,1743465600,13.6386,4293032445.61,13.564285000000002,0.03295141998377249,13.630187839967547,13.498382160032456,83.15043006298639,3819622762.7189994,False
2025-04-02,1743552000,13.6608,4320375100.93,13.571085,0.03801758976550884,13.647120179531019,13.495049820468981,85.67308381670827,3865165595.9920006,False
2025-04-03,1743638400,13.6954,4436648011.07,13.579485,0.04565087507087221,13.670786750141744,13.488183249858256,88.5502907134715,3915861277.4195,False
